signature,maxTargetSdk,overrideSourcePosition,publicAlternatives,trackingBug
|Landroid/bluetooth/BluetoothHearingAid;->setActiveDevice(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothMap;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothMapClient;->sendMessage(Landroid/bluetooth/BluetoothDevice;[Landroid/net/Uri;Ljava/lang/String;Landroid/app/PendingIntent;Landroid/app/PendingIntent;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothPan;-><init>(Landroid/content/Context;Landroid/bluetooth/BluetoothProfile$ServiceListener;Landroid/bluetooth/BluetoothAdapter;)V|,||,||,||,||
|Landroid/bluetooth/BluetoothPan;->close()V|,||,||,||,||
|Landroid/bluetooth/BluetoothPan;->connect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothPan;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||,||
|Landroid/bluetooth/BluetoothPan;->isEnabled()Z|,||,||,||,||
|Landroid/bluetooth/BluetoothPan;->isValidDevice(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||,||
|Landroid/bluetooth/BluetoothPan;->log(Ljava/lang/String;)V|,||,||,||,||
|Landroid/bluetooth/BluetoothPbap;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothProfile;->PRIORITY_AUTO_CONNECT:I|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothProfile;->PRIORITY_UNDEFINED:I|,||,||,||,||
|Landroid/bluetooth/BluetoothSap;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothServerSocket;->mSocket:Landroid/bluetooth/BluetoothSocket;|,||,||,|Use public {@link BluetoothServerSocket} API instead.|,||
|Landroid/bluetooth/BluetoothSocket;->EADDRINUSE:I|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothSocket;->mPfd:Landroid/os/ParcelFileDescriptor;|,||,||,|Use {@link BluetoothSocket} public API instead.|,||
|Landroid/bluetooth/BluetoothSocket;->mPort:I|,||,||,||,||
|Landroid/bluetooth/BluetoothSocket;->mSocket:Landroid/net/LocalSocket;|,||,||,||,||
|Landroid/bluetooth/BluetoothUuid;->is16BitUuid(Landroid/os/ParcelUuid;)Z|,||,||,||,||
|Landroid/bluetooth/BluetoothUuid;->is32BitUuid(Landroid/os/ParcelUuid;)Z|,||,||,||,||
|Landroid/bluetooth/IBluetooth;->fetchRemoteUuids(Landroid/bluetooth/BluetoothDevice;)Z|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetooth.aidl:142:1:142:25|,||,||
|Landroid/bluetooth/IBluetooth;->getAddress()Ljava/lang/String;|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetooth.aidl:55:1:55:25|,||,||
|Landroid/bluetooth/IBluetooth;->getConnectionState(Landroid/bluetooth/BluetoothDevice;)I|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetooth.aidl:122:1:122:25|,||,||
|Landroid/bluetooth/IBluetooth;->getRemoteAlias(Landroid/bluetooth/BluetoothDevice;)Ljava/lang/String;|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetooth.aidl:131:1:131:25|,||,||
|Landroid/bluetooth/IBluetoothA2dp;->connect(Landroid/bluetooth/BluetoothDevice;Lcom/android/bluetooth/x/com/android/modules/utils/SynchronousResultReceiver;)V|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothA2dp.aidl:34:1:34:25|,||,||
|Landroid/bluetooth/IBluetoothA2dp;->disconnect(Landroid/bluetooth/BluetoothDevice;Lcom/android/bluetooth/x/com/android/modules/utils/SynchronousResultReceiver;)V|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothA2dp.aidl:39:1:39:25|,||,||
|Landroid/bluetooth/IBluetoothA2dp;->getConnectedDevices(Lcom/android/bluetooth/x/com/android/modules/utils/SynchronousResultReceiver;)V|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothA2dp.aidl:44:1:44:25|,||,||
|Landroid/bluetooth/IBluetoothA2dp;->getConnectionState(Landroid/bluetooth/BluetoothDevice;Lcom/android/bluetooth/x/com/android/modules/utils/SynchronousResultReceiver;)V|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothA2dp.aidl:54:1:54:25|,||,||
|Landroid/bluetooth/IBluetoothA2dp;->getDevicesMatchingConnectionStates([ILcom/android/bluetooth/x/com/android/modules/utils/SynchronousResultReceiver;)V|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothA2dp.aidl:49:1:49:25|,||,||
|Landroid/bluetooth/IBluetoothHeadset;->connect(Landroid/bluetooth/BluetoothDevice;)Z|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothHeadset.aidl:57:1:57:25|,||,||
|Landroid/bluetooth/IBluetoothHeadset;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothHeadset.aidl:62:1:62:25|,||,||
|Landroid/bluetooth/IBluetoothHeadset;->getConnectedDevices()Ljava/util/List;|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothHeadset.aidl:35:1:35:25|,||,||
|Landroid/bluetooth/IBluetoothHeadset;->getConnectionState(Landroid/bluetooth/BluetoothDevice;)I|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothHeadset.aidl:42:1:42:25|,||,||
|Landroid/bluetooth/IBluetoothManager;->getBluetoothGatt()Landroid/bluetooth/IBluetoothGatt;|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothManager.aidl:49:1:49:25|,||,||
|Landroid/bluetooth/IBluetoothManager;->registerStateChangeCallback(Landroid/bluetooth/IBluetoothStateChangeCallback;)V|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothManager.aidl:37:1:37:25|,||,||
|Landroid/bluetooth/IBluetoothManager;->unregisterStateChangeCallback(Landroid/bluetooth/IBluetoothStateChangeCallback;)V|,||,|packages/modules/Bluetooth/system/binder/android/bluetooth/IBluetoothManager.aidl:39:1:39:25|,||,||
|Landroid/bluetooth/le/ScanRecord;->parseFromBytes([B)Landroid/bluetooth/le/ScanRecord;|,||,||,||,||
